,Complaint,CustCareScore,AgentBonus,Age,CustTenure,NumberOfPolicy,MonthlyIncome,ExistingPolicyTenure,SumAssured,LastMonthCalls,Channel_Online,Channel_Third Party Partner,Occupation_Large Business,Occupation_Salaried,Occupation_Small Business,EducationField_Engineer,EducationField_Graduate,EducationField_MBA,EducationField_Post Graduate,EducationField_Under Graduate,Gender_Male,Designation_Executive,Designation_Manager,Designation_Senior Manager,Designation_VP,MaritalStatus_Married,MaritalStatus_Single,MaritalStatus_Unmarried,Zone_North,Zone_South,Zone_West,PaymentMethod_Monthly,PaymentMethod_Quarterly,PaymentMethod_Yearly,ExistingProdType_2.0,ExistingProdType_3.0,ExistingProdType_4.0,ExistingProdType_5.0,ExistingProdType_6.0,ClusterLabel
15,0,2,3402.0,7,3,2,21261.0,5,547683.0,7,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
16,0,3,1930.0,12,4,5,19298.0,2,245085.0,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
17,1,2,2180.0,9,11,2,21804.0,1,287813.0,7,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
18,1,3,2258.0,5,5,3,18815.0,1,392857.0,0,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
19,1,2,4258.0,17,21,2,17741.0,3,847310.0,7,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
20,1,3,3034.0,12,18,5,21673.0,1,324662.0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
21,0,3,4981.0,5,25,2,22639.0,1,826776.0,9,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
22,1,4,3466.0,11,3,4,17328.0,1,374285.0,2,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0
23,0,3,3431.0,7,14,2,17153.0,2,462517.6,7,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0
24,0,5,4969.0,30,25,2,19876.0,4,954048.0,2,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1
25,0,2,3903.0,20,8,5,24396.0,5,640151.0,3,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
26,0,2,3556.0,14,21,2,25400.0,4,540512.0,8,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
27,0,5,3756.0,8,15,3,23474.0,6,386852.0,8,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0
28,0,2,2998.0,12,3,3,24981.0,1,599544.0,7,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
29,0,3,5223.0,26,31,4,27490.0,2,851365.0,7,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1
30,1,4,4414.0,15,9,5,17657.0,4,560610.0,4,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
31,1,2,6576.0,7,26,2,28591.0,16,749656.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1
32,0,2,4122.0,16,16,5,21696.0,2,783226.0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1
33,0,2,2729.0,8,5,3,17058.0,2,390234.0,5,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
34,0,4,2625.0,13,8,2,23865.0,2,393773.0,8,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0
35,0,4,5235.0,5,10,5,20940.0,13,738135.0,5,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
36,0,2,2928.0,18,6,4,20914.0,4,494825.0,7,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
37,0,4,2291.0,8,2,4,17622.0,2,341338.0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
38,1,3,6524.0,7,20,2,27185.0,13,1246160.0,7,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1
39,0,2,5122.0,5,26,3,25609.0,2,793879.0,13,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1
40,0,3,2708.0,16,14,3,19345.0,1,365621.0,4,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
41,0,3,2405.0,2,2,2,17177.0,7,359832.8,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
42,0,4,3779.0,11,23,2,17177.0,2,565405.0,8,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
43,0,3,3896.0,4,16,2,22918.0,6,599993.0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
44,0,5,3806.0,15,11,3,23789.0,5,738411.0,8,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1
45,1,3,4347.0,15,4,2,17389.0,3,434725.0,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0
46,0,3,2003.0,10,5,2,18212.0,6,368611.0,2,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0
47,0,2,4450.0,27,9,2,34232.0,5,756527.0,15,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
48,0,4,3971.0,16,24,3,17267.0,4,424941.0,2,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
49,0,2,7594.0,23,30,2,34517.0,8,1306123.0,6,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1
50,1,2,2790.0,11,17,2,17436.0,4,488208.0,4,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
51,1,3,6213.0,37,31,2,26954.4,3,776600.0,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
52,0,3,2125.0,8,4,5,17707.0,1,303852.0,7,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
53,1,2,5451.0,33,27,3,34068.0,4,566892.0,12,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0
54,0,3,3218.0,19,10,4,18931.0,3,482741.0,2,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
55,1,5,2060.0,8,2,3,18730.0,2,245176.0,2,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0
56,0,3,3102.0,12,3,3,17232.0,1,457309.8,2,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
57,0,4,1947.0,12,10,2,19465.0,6,210222.0,2,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
58,0,2,2530.0,15,12,5,18072.0,1,361801.0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
59,0,3,3847.0,8,12,2,18319.0,4,453945.0,7,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
60,0,4,3420.0,14,10,2,34202.0,5,420685.0,7,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0
61,0,4,5162.0,10,31,3,28675.0,8,727772.0,2,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1
62,0,2,2687.0,5,15,2,17911.0,1,292845.0,2,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
63,0,4,4820.0,19,24,5,20957.0,8,882080.0,9,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1
64,0,4,4541.0,14,9,5,18920.0,5,476784.0,2,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
65,0,2,3858.0,15,12,3,21434.0,1,598009.0,2,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0
66,0,3,6262.0,13,38,3,25048.0,6,845370.0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1
67,0,2,2853.0,17,3,3,25938.0,3,524985.0,8,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
68,0,3,1907.0,8,2,2,17340.0,1,223166.0,5,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
69,1,2,2370.0,12,2,5,21545.0,4,421851.0,2,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0
70,0,2,2632.0,5,3,2,21931.0,2,494763.0,2,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
71,0,3,2587.0,10,10,3,19898.0,1,271608.0,2,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
72,1,4,1759.0,6,4,5,17593.0,3,299081.0,8,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0
73,0,5,3788.0,19,8,3,34436.0,3,458343.0,9,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
74,0,4,1950.0,7,4,2,17723.0,1,384057.0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
75,0,3,2587.0,5,12,4,18479.0,1,463084.0,4,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0
76,0,2,4093.0,25,16,4,17794.0,1,781690.0,3,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1
77,0,5,3037.0,15,15,2,20249.0,9,419154.0,5,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
78,0,4,3092.0,19,3,5,17176.0,4,457309.8,4,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0
79,1,5,3187.0,13,16,4,16842.2,5,382464.0,7,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
80,0,4,4621.0,14,14,3,18485.0,1,573035.0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
81,0,4,5411.0,22,22,4,21644.0,1,1001035.0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1
82,0,3,5146.0,21,5,2,20582.0,6,926190.0,8,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1
83,0,5,3610.0,11,4,5,19000.0,4,527060.0,5,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0
84,1,3,4844.0,15,15,2,28496.0,2,949487.0,10,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
85,0,5,4188.0,4,16,2,18210.0,1,603115.0,11,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
86,1,2,7490.0,15,15,5,34045.0,6,1303243.0,13,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1
87,1,3,5907.0,24,12,4,26849.0,2,590678.0,9,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
88,0,2,1878.0,2,2,2,17070.0,1,257567.6,4,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
89,0,3,3870.0,12,8,2,21502.0,1,696665.0,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
90,0,5,4375.0,26,16,3,18230.0,8,791911.0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1
91,1,3,3432.0,17,17,2,28603.0,1,422180.0,2,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
92,0,5,3779.0,15,4,4,26996.0,6,733211.0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1
93,1,3,2473.0,5,2,5,20605.0,4,316493.0,7,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0
94,0,5,3210.0,10,6,4,21397.0,8,436499.0,4,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
95,0,5,5804.0,29,29,4,34144.0,4,1073829.0,6,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1
96,1,5,7820.0,47,39,4,32584.0,3,1008801.0,3,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
97,0,3,4977.0,30,30,3,19907.0,12,950559.0,6,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
98,0,2,2542.0,13,5,2,19554.0,3,480442.0,9,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
99,1,2,5104.0,31,26,2,20415.0,6,617554.0,8,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
100,1,3,4738.0,28,28,5,19741.0,5,578016.0,3,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
101,0,2,2054.0,10,2,2,17115.0,5,270499.2,7,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
102,1,5,2906.0,3,11,3,18161.0,3,581152.0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
103,0,3,3734.0,7,19,2,20745.0,2,642265.0,2,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
104,1,2,2606.0,11,3,4,17373.0,2,315320.0,2,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
105,0,4,2197.0,4,6,2,18310.0,5,437243.0,2,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
106,1,3,7070.0,28,28,5,33665.0,6,1145283.0,2,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1
107,0,2,4676.0,9,5,4,19485.0,7,832399.0,7,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
108,0,3,2668.0,8,11,4,17789.0,4,384242.0,2,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
109,1,2,2499.0,2,5,2,20828.0,5,347411.0,4,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0
110,1,2,2426.0,6,7,2,17326.0,3,349292.0,2,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
111,0,3,3994.0,20,24,4,28525.0,5,443279.0,8,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
112,0,3,3448.0,3,10,3,16420.0,2,462517.6,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
113,0,2,4834.0,24,10,4,23020.0,4,536596.0,9,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
114,0,5,3924.0,8,24,2,18688.0,6,651464.0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0
115,0,2,4096.0,4,25,4,20482.0,1,462893.0,2,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0
116,0,3,4032.0,20,24,4,16957.4,3,528185.0,4,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
117,0,2,3888.0,16,19,3,16200.0,12,524880.0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0
118,0,5,3512.0,14,7,5,20661.0,4,600615.0,7,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0
119,0,2,4605.0,23,5,2,21929.0,2,497350.0,7,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0
120,0,3,6153.0,6,31,2,24613.0,2,664551.0,7,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0
121,0,3,2894.0,12,14,4,20674.0,1,512302.0,8,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
122,0,3,3482.0,3,14,3,20484.0,1,508413.0,8,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
123,0,3,6495.0,6,13,4,27061.0,8,1058626.0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1
124,1,2,2066.0,6,6,3,20660.0,2,365682.0,2,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0
125,1,4,4361.0,17,17,2,19821.0,9,671535.0,3,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
126,0,3,4282.0,26,13,5,21410.0,5,736504.0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1
127,0,2,4648.0,9,28,5,20210.0,6,804156.0,11,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1
128,1,4,2831.0,10,8,2,17695.0,1,311432.0,2,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
129,0,3,4838.0,10,10,4,26878.0,1,759572.0,8,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
130,1,3,7696.0,46,23,5,28714.0,3,892773.0,10,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
131,0,5,2793.0,11,17,2,17455.0,6,293244.0,7,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
132,1,3,7241.0,29,43,3,28964.0,9,1180283.0,7,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1
133,0,2,3390.0,3,20,4,19941.0,1,400016.0,7,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
134,1,3,4370.0,15,22,4,17478.0,7,524340.0,2,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
135,1,2,3439.0,10,17,4,20228.0,1,457355.0,9,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
136,1,4,4480.0,4,4,3,19478.0,1,730230.0,4,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1
137,0,2,3157.0,3,3,2,22547.0,3,404042.0,7,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
138,0,3,3610.0,7,18,2,20055.0,4,415139.0,7,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0
139,1,3,1846.0,4,6,2,18464.0,4,204950.0,2,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
140,0,3,2909.0,17,3,2,20775.0,3,421733.0,9,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
141,0,2,5986.0,18,12,3,23943.0,2,676390.0,9,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
142,0,5,7197.0,14,36,2,34272.0,7,1115554.0,3,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1
143,1,4,5060.0,25,30,3,20238.0,3,814580.0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
144,0,3,4133.0,25,4,2,19682.0,4,731580.0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1
