,Timestamp,InventoryType,Ad - Length,Ad- Width,Ad Size,Ad Type,Platform,Device Type,Format,Available_Impressions,Matched_Queries,Impressions,Clicks,Spend,Fee,Revenue,CTR,CPM,CPC,ClusterLabel,sil_width
33,2020-9-30-8,Format6,336,250,84000,Inter226,Web,Mobile,Display,1749,228,226,1,0.0,0.35,0.0,0.0044,0.0,0.0,3,0.036918304631474774
34,2020-10-17-19,Format1,300,250,75000,Inter227,App,Mobile,Video,1358,214,209,1,0.0,0.35,0.0,0.0048,0.01,0.0,3,0.06518890156497478
35,2020-10-15-21,Format1,300,250,75000,Inter225,Video,Mobile,Video,2249,390,390,1,0.0,0.35,0.0,0.0026,0.0,0.0,3,0.06671177354976497
36,2020-10-28-14,Format1,300,250,75000,Inter219,Video,Desktop,Display,1428,211,208,1,0.0,0.35,0.0,0.0048,0.01,0.0,3,0.06519113016560026
37,2020-10-26-21,Format1,300,250,75000,Inter225,Video,Mobile,Display,2370,409,408,1,0.0,0.35,0.0,0.0025,0.0,0.0,3,0.06677401596681685
38,2020-11-8-1,Format6,336,250,84000,Inter228,Video,Mobile,Video,879,149,146,1,0.0,0.35,0.0,0.0068,0.0,0.0,3,0.03550334517125892
39,2020-11-8-13,Format6,336,250,84000,Inter218,App,Mobile,Video,1485,258,255,1,0.0,0.35,0.0,0.0039,0.0,0.0,3,0.03719773963617139
40,2020-11-5-23,Format1,300,250,75000,Inter227,App,Mobile,Display,1557,280,277,1,0.0,0.35,0.0,0.0036,0.0,0.0,3,0.06611110845567914
41,2020-11-3-16,Format1,300,250,75000,Inter227,App,Mobile,Display,1519,286,280,1,0.0,0.35,0.0,0.0036,0.0,0.0,3,0.06611039884977611
42,2020-11-6-17,Format6,336,250,84000,Inter222,Video,Desktop,Display,1502,229,224,1,0.0,0.35,0.0,0.0045,0.0,0.0,3,0.03685310618291291
43,2020-11-6-0,Format1,300,250,75000,Inter219,Video,Desktop,Video,981,135,135,1,0.0,0.35,0.0,0.0074,0.0,0.0,3,0.06383951760773611
44,2020-11-8-19,Format1,300,250,75000,Inter224,Web,Desktop,Display,1454,267,264,1,0.0,0.35,0.0,0.0038,0.0,0.0,3,0.06599140321526518
45,2020-11-3-22,Format1,300,250,75000,Inter217,Web,Desktop,Video,2101,427,424,1,0.0,0.35,0.0,0.0024,0.0,0.0,3,0.06682194716663102
46,2020-11-9-9,Format1,300,250,75000,Inter228,Video,Mobile,Display,1430,270,269,1,0.0,0.35,0.0,0.0037,0.0,0.0,3,0.0660482585758297
47,2020-11-16-22,Format1,300,250,75000,Inter222,Video,Desktop,Video,1704,215,212,1,0.0,0.35,0.0,0.0047,0.01,0.0,3,0.06525991390887556
48,2020-11-16-11,Format1,300,250,75000,Inter223,Web,Mobile,Video,1845,258,241,1,0.01,0.35,0.0,0.0041,0.02,0.01,3,0.06953935049094763
49,2020-11-17-15,Format1,300,250,75000,Inter225,Video,Mobile,Video,1462,213,206,1,0.0,0.35,0.0,0.0049,0.0,0.0,3,0.06534768787797357
50,2020-11-16-23,Format1,300,250,75000,inter230,Video,Mobile,Video,1595,274,273,2,0.0,0.35,0.0,0.0073,0.0,0.0,3,0.0639438734364056
51,2020-11-17-19,Format1,300,250,75000,Inter222,Video,Desktop,Display,1816,315,309,1,0.0,0.35,0.0,0.0032,0.0,0.0,3,0.06635086342757913
52,2020-11-20-3,Format1,300,250,75000,Inter218,App,Mobile,Display,391,96,91,1,0.0,0.35,0.0,0.011,0.01,0.0,3,0.061413288160002695
53,2020-11-23-13,Format1,300,250,75000,Inter224,Web,Desktop,Display,2008,277,274,1,0.0,0.35,0.0,0.0036,0.0,0.0,3,0.06612686144068618
54,2020-11-23-15,Format1,300,250,75000,Inter218,App,Mobile,Display,1973,456,355,1,0.0,0.35,0.0,0.0028,0.0,0.0,3,0.0665932242343184
55,2020-11-23-21,Format1,300,250,75000,Inter224,Web,Desktop,Video,2210,335,333,1,0.0,0.35,0.0,0.003,0.0,0.0,3,0.0664800451021164
56,2020-11-22-15,Format1,300,250,75000,Inter222,Video,Desktop,Display,1835,327,321,1,0.0,0.35,0.0,0.0031,0.0,0.0,3,0.06640929835713968
57,2020-9-26-11,Format1,300,250,75000,Inter226,Web,Mobile,Video,1259,193,189,2,0.0,0.35,0.0,0.0106,0.0,0.0,3,0.06192259880137432
58,2020-9-23-22,Format1,300,250,75000,Inter220,Web,Mobile,Video,1703,240,236,1,0.0,0.35,0.0,0.0042,0.0,0.0,3,0.06576681500136532
59,2020-9-24-21,Format1,300,250,75000,Inter219,Video,Desktop,Video,3150,315,303,1,0.0,0.35,0.0,0.0033,0.0,0.0,3,0.06634200051417515
60,2020-9-26-9,Format1,300,250,75000,Inter221,App,Mobile,Video,1729,218,216,1,0.0,0.35,0.0,0.0046,0.0,0.0,3,0.06553313219853092
61,2020-10-12-22,Format1,300,250,75000,inter230,Video,Mobile,Video,2269,493,488,1,0.0,0.35,0.0,0.002,0.0,0.0,3,0.06705662137475597
62,2020-10-25-15,Format1,300,250,75000,Inter228,Video,Mobile,Display,1632,281,280,1,0.0,0.35,0.0,0.0036,0.0,0.0,3,0.0661141074726338
63,2020-10-24-23,Format1,300,250,75000,Inter224,Web,Desktop,Display,2002,285,280,1,0.0,0.35,0.0,0.0036,0.0,0.0,3,0.06612767870039986
64,2020-10-25-9,Format1,300,250,75000,Inter220,Web,Mobile,Display,1364,228,226,1,0.0,0.35,0.0,0.0044,0.0,0.0,3,0.06563747489210997
65,2020-10-25-2,Format1,300,250,75000,Inter221,App,Mobile,Display,1251,159,158,1,0.0,0.35,0.0,0.0063,0.0,0.0,3,0.06450813758897085
66,2020-10-23-18,Format1,300,250,75000,Inter228,Video,Mobile,Video,2248,543,541,1,0.0,0.35,0.0,0.0018,0.0,0.0,3,0.06717243439246064
67,2020-10-22-6,Format6,336,250,84000,Inter225,Video,Mobile,Video,822,159,158,1,0.0,0.35,0.0,0.0063,0.0,0.0,3,0.035790808760594005
68,2020-10-30-20,Format1,300,250,75000,inter230,Video,Mobile,Display,1854,379,378,1,0.01,0.35,0.0,0.0026,0.02,0.01,3,0.0704020660883608
69,2020-10-30-18,Format6,336,250,84000,Inter228,Video,Mobile,Video,1783,285,271,1,0.0,0.35,0.0,0.0037,0.0,0.0,3,0.037323893313386335
70,2020-10-31-2,Format1,300,250,75000,Inter224,Web,Desktop,Display,479,79,79,1,0.0,0.35,0.0,0.0127,0.0,0.0,3,0.06058455148219393
71,2020-10-29-18,Format1,300,250,75000,Inter217,Web,Desktop,Display,1335,311,311,1,0.0,0.35,0.0,0.3215434083601286,0.0,0.0,1,0.13131794239733396
72,2020-10-30-6,Format1,300,250,75000,inter230,Video,Mobile,Video,857,124,124,1,0.0,0.35,0.0,0.8064516129032258,0.0,0.0,1,0.16626121850432765
73,2020-10-28-21,Format1,300,250,75000,Inter217,Web,Desktop,Display,1789,306,300,1,0.0,0.35,0.0,0.33333333333333337,0.0,0.0,1,0.13574570486167054
74,2020-10-28-19,Format1,300,250,75000,Inter224,Web,Desktop,Video,1784,274,274,1,0.0,0.35,0.0,0.36496350364963503,0.0,0.0,1,0.14631118590394532
75,2020-11-6-22,Format1,300,250,75000,Inter229,Video,Desktop,Display,2095,379,375,1,0.0,0.35,0.0,0.26666666666666666,0.0,0.0,1,0.1068828355606351
76,2020-11-4-22,Format1,300,250,75000,Inter218,App,Mobile,Display,1800,308,307,1,0.0,0.35,0.0,0.32573289902280134,0.0,0.0,1,0.13291628628257007
77,2020-11-13-21,Format1,300,250,75000,Inter224,Web,Desktop,Video,1732,275,273,1,0.0,0.35,0.0,0.3663003663003663,0.0,0.0,1,0.14671537940916637
78,2020-11-12-22,Format1,300,250,75000,Inter221,App,Mobile,Display,1594,250,247,1,0.0,0.35,0.0,0.4048582995951417,0.0,0.0,1,0.15689611108225912
79,2020-11-14-8,Format1,300,250,75000,Inter226,Web,Mobile,Video,1605,215,213,1,0.0,0.35,0.0,0.4694835680751174,0.0,0.0,1,0.16623977935201303
80,2020-11-14-2,Format1,300,250,75000,Inter227,App,Mobile,Video,631,67,65,1,0.0,0.35,0.0,1.5384615384615385,0.0,0.0,1,0.16627010540933834
81,2020-11-19-17,Format1,300,250,75000,Inter217,Web,Desktop,Display,1671,373,372,1,0.0,0.35,0.0,0.2688172043010753,0.0,0.0,1,0.10797000829632657
82,2020-11-17-21,Format1,300,250,75000,Inter224,Web,Desktop,Display,1424,274,269,1,0.0,0.35,0.0,0.37174721189591076,0.0,0.0,1,0.1483269759135243
83,2020-10-7-20,Format1,300,250,75000,Inter219,Video,Desktop,Video,1619,214,211,1,0.0,0.35,0.0,0.47393364928909953,0.0,0.0,1,0.1662396291204647
84,2020-9-22-19,Format1,300,250,75000,Inter222,Video,Desktop,Display,1775,349,348,1,0.0,0.35,0.0,0.28735632183908044,0.0,0.0,1,0.11683197350524574
85,2020-10-5-23,Format1,300,250,75000,inter230,Video,Mobile,Video,1888,376,368,1,0.0,0.35,0.0,0.2717391304347826,0.0,0.0,1,0.10940781602403764
86,2020-10-7-23,Format1,300,250,75000,Inter221,App,Mobile,Video,1842,286,285,1,0.0,0.35,0.0,0.3508771929824561,0.0,0.0,1,0.1418450340876514
87,2020-10-11-21,Format1,300,250,75000,Inter221,App,Mobile,Video,1970,359,355,1,0.0,0.35,0.0,0.28169014084507044,0.0,0.0,1,0.11419234764742302
88,2020-10-23-20,Format1,300,250,75000,Inter223,Web,Mobile,Display,1914,472,465,1,0.0,0.35,0.0,0.21505376344086022,0.0,0.0,1,0.07835134189136475
89,2020-11-14-23,Format1,300,250,75000,Inter227,App,Mobile,Display,1587,251,250,1,0.0,0.35,0.0,0.4,0.0,0.0,1,0.1557604550669841
90,2020-9-14-17,Format1,300,250,75000,Inter225,Video,Mobile,Video,1752,349,347,2,0.0,0.35,0.0,0.5763688760806917,0.0,0.0,1,0.1662259023320786
91,2020-9-14-20,Format1,300,250,75000,Inter226,Web,Mobile,Display,1659,450,447,1,0.0,0.35,0.0,0.22371364653243847,0.0,0.0,1,0.08350106160808562
92,2020-9-29-13,Format1,300,250,75000,Inter229,Video,Desktop,Video,1474,270,254,1,0.0,0.35,0.0,0.39370078740157477,0.0,0.0,1,0.15422739990221343
93,2020-10-18-19,Format1,300,250,75000,Inter221,App,Mobile,Video,1406,342,334,1,0.0,0.35,0.0,0.29940119760479045,0.0,0.0,1,0.12221602617603751
94,2020-10-19-4,Format1,300,250,75000,Inter223,Web,Mobile,Video,488,51,51,1,0.0,0.35,0.0,1.9607843137254901,0.0,0.0,1,0.16627401261927824
95,2020-11-22-9,Format1,300,250,75000,Inter226,Web,Mobile,Video,2283,377,375,1,0.0,0.35,0.0,0.26666666666666666,0.0,0.0,1,0.1068776139898399
96,2020-9-22-16,Format1,300,250,75000,Inter222,Video,Desktop,Video,1793,251,246,1,0.0,0.35,0.0,0.40650406504065045,0.0,0.0,1,0.15726690245778452
97,2020-9-18-14,Format1,300,250,75000,Inter222,Video,Desktop,Video,1191,228,225,1,0.0,0.35,0.0,0.4444444444444444,0.0,0.0,1,0.16469520485456268
98,2020-10-16-1,Format1,300,250,75000,inter230,Video,Mobile,Display,804,179,178,2,0.0,0.35,0.0,1.1235955056179776,0.0,0.0,1,0.16625746428992325
99,2020-9-11-4,Format1,300,250,75000,Inter223,Web,Mobile,Video,334,79,79,1,0.0,0.35,0.0,1.2658227848101267,0.0,0.0,1,0.16627474771989506
100,2020-9-9-10,Format1,300,250,75000,Inter227,App,Mobile,Video,1475,162,155,1,0.02,0.35,0.01,0.0065,0.12,0.02,3,0.07008452578073589
101,2020-9-12-23,Format1,300,250,75000,Inter220,Web,Mobile,Video,1935,282,269,1,0.02,0.35,0.01,0.0037,0.07,0.02,3,0.07280511674147376
102,2020-9-14-18,Format1,300,250,75000,Inter219,Video,Desktop,Display,2145,384,382,1,0.01,0.35,0.01,0.0026,0.03,0.01,3,0.07020125625907682
103,2020-9-16-11,Format1,300,250,75000,Inter226,Web,Mobile,Display,1173,254,253,1,0.01,0.35,0.01,0.004,0.04,0.01,3,0.06914617266036553
104,2020-9-16-1,Format1,300,250,75000,Inter225,Video,Mobile,Video,681,117,116,1,0.01,0.35,0.01,0.0086,0.11,0.01,3,0.06488721374167389
105,2020-9-14-23,Format1,300,250,75000,Inter217,Web,Desktop,Display,1909,343,342,2,0.01,0.35,0.01,0.0058,0.03,0.01,3,0.06836439073740362
106,2020-9-29-17,Format1,300,250,75000,Inter224,Web,Desktop,Display,1563,148,148,1,0.02,0.35,0.01,0.0068,0.14,0.02,3,0.06947473068215096
107,2020-10-6-10,Format6,336,250,84000,Inter217,Web,Desktop,Video,1634,270,268,1,0.02,0.35,0.01,0.0037,0.07,0.02,3,0.04339562780505949
108,2020-10-18-14,Format1,300,250,75000,Inter218,App,Mobile,Video,1237,307,306,1,0.01,0.35,0.01,0.0033,0.03,0.01,3,0.06976580320966869
109,2020-10-14-9,Format1,300,250,75000,Inter223,Web,Mobile,Display,1380,198,196,1,0.02,0.35,0.01,0.0051,0.08,0.02,3,0.07176196694401113
110,2020-11-4-1,Format1,300,250,75000,Inter225,Video,Mobile,Video,801,165,165,2,0.02,0.35,0.01,0.0121,0.12,0.01,3,0.06254020485522901
111,2020-11-4-13,Format1,300,250,75000,Inter229,Video,Desktop,Video,1170,223,218,3,0.02,0.35,0.01,0.0138,0.1,0.01,3,0.061949502910218765
112,2020-11-5-22,Format1,300,250,75000,Inter223,Web,Mobile,Video,3330,467,464,2,0.01,0.35,0.01,0.0043,0.02,0.01,3,0.06951341741643671
113,2020-11-5-19,Format6,336,250,84000,Inter225,Video,Mobile,Video,2570,301,299,1,0.01,0.35,0.01,0.0033,0.04,0.01,3,0.040503666110661966
114,2020-11-18-16,Format1,300,250,75000,Inter219,Video,Desktop,Video,1681,219,207,1,0.02,0.35,0.01,0.0048,0.1,0.02,3,0.07151741053568628
115,2020-11-20-19,Format1,300,250,75000,Inter227,App,Mobile,Display,1994,322,314,3,0.02,0.35,0.01,0.0096,0.05,0.01,3,0.0656733531093258
116,2020-11-21-17,Format1,300,250,75000,Inter229,Video,Desktop,Display,1586,224,219,1,0.01,0.35,0.01,0.0046,0.04,0.01,3,0.06881356001663781
117,2020-11-8-17,Format5,720,300,216000,Inter227,App,Mobile,Video,20,10,10,1,0.02,0.35,0.01,0.1,1.73,0.02,4,0.33120023145051186
118,2020-9-11-10,Format1,300,250,75000,Inter223,Web,Mobile,Video,1229,214,214,1,0.01,0.35,0.01,0.0047,0.04,0.01,3,0.06874205121913383
119,2020-10-12-23,Format1,300,250,75000,Inter229,Video,Desktop,Video,1751,293,293,1,0.01,0.35,0.01,0.0034,0.03,0.01,3,0.06972612528953855
120,2020-10-13-10,Format1,300,250,75000,Inter229,Video,Desktop,Display,1736,182,178,1,0.01,0.35,0.01,0.0056,0.06,0.01,3,0.06780381140237454
121,2020-10-11-7,Format1,300,250,75000,Inter221,App,Mobile,Display,1194,119,119,1,0.01,0.35,0.01,0.0084,0.08,0.01,3,0.06568273233512131
122,2020-10-24-19,Format1,300,250,75000,Inter227,App,Mobile,Display,1442,413,411,1,0.01,0.35,0.01,0.0024,0.03,0.01,3,0.07029118219282375
123,2020-10-22-21,Format1,300,250,75000,inter230,Video,Mobile,Display,2176,446,445,2,0.01,0.35,0.01,0.0045,0.02,0.0,3,0.0652147513201069
124,2020-10-23-17,Format1,300,250,75000,Inter224,Web,Desktop,Display,2039,564,559,1,0.01,0.35,0.01,0.0018,0.02,0.01,3,0.0708780738184933
125,2020-10-21-22,Format1,300,250,75000,Inter226,Web,Mobile,Video,1767,305,302,1,0.01,0.35,0.01,0.0033,0.03,0.01,3,0.06978453143763845
126,2020-9-6-10,Format1,300,250,75000,Inter229,Video,Desktop,Display,1934,355,353,1,0.03,0.35,0.02,0.0028,0.08,0.03,3,0.07720712595459962
127,2020-9-9-15,Format1,300,250,75000,Inter224,Web,Desktop,Video,1720,239,238,1,0.03,0.35,0.02,0.0042,0.12,0.03,3,0.0755402412882468
128,2020-9-13-9,Format1,300,250,75000,Inter221,App,Mobile,Display,1705,285,282,2,0.03,0.35,0.02,0.0071,0.1,0.01,3,0.0660690212880207
129,2020-9-27-23,Format6,336,250,84000,Inter222,Video,Desktop,Video,1504,208,201,4,0.03,0.35,0.02,0.0199,0.15,0.01,3,0.028331868162441466
130,2020-10-1-17,Format1,300,250,75000,Inter221,App,Mobile,Display,1720,225,224,3,0.02,0.35,0.02,0.0134,0.1,0.01,3,0.06221994645502643
131,2020-10-7-12,Format1,300,250,75000,inter230,Video,Mobile,Video,1336,222,217,1,0.03,0.35,0.02,0.0046,0.14,0.03,3,0.07486473117636419
132,2020-10-18-9,Format1,300,250,75000,Inter218,App,Mobile,Video,1451,261,259,1,0.03,0.35,0.02,0.0039,0.1,0.03,3,0.07613177629012642
133,2020-10-13-21,Format7,300,600,180000,Inter226,Web,Mobile,Video,15,8,7,1,0.03,0.35,0.02,0.1429,4.86,0.03,1,0.1607303616069738
134,2020-9-19-14,Format1,300,250,75000,inter230,Video,Mobile,Display,1279,321,319,2,0.03,0.35,0.02,0.0063,0.11,0.02,3,0.07043774388768745
135,2020-10-9-18,Format1,300,250,75000,Inter220,Web,Mobile,Display,1509,284,281,1,0.03,0.35,0.02,0.0036,0.09,0.03,3,0.07651979056101518
136,2020-10-22-10,Format1,300,250,75000,Inter223,Web,Mobile,Display,1433,237,234,1,0.03,0.35,0.02,0.0043,0.11,0.03,3,0.07568665102339493
137,2020-9-4-21,Format1,300,250,75000,Inter221,App,Mobile,Video,2230,380,380,1,0.05,0.35,0.03,0.0026,0.12,0.05,3,0.08469446164377503
138,2020-9-3-21,Format1,300,250,75000,Inter222,Video,Desktop,Display,1838,311,308,1,0.05,0.35,0.03,0.0032,0.16,0.05,3,0.08348642097533945
139,2020-9-7-21,Format1,300,250,75000,Inter217,Web,Desktop,Video,1940,416,404,1,0.05,0.35,0.03,0.0025,0.12,0.05,3,0.08474383668646786
140,2020-9-7-22,Format1,300,250,75000,Inter226,Web,Mobile,Video,1879,344,334,1,0.05,0.35,0.03,0.003,0.15,0.05,3,0.08381720571856809
141,2020-9-13-15,Format1,300,250,75000,inter230,Video,Mobile,Display,1722,359,353,3,0.05,0.35,0.03,0.0085,0.13,0.02,3,0.06872606386087723
142,2020-9-17-11,Format5,720,300,216000,Inter221,App,Mobile,Video,28,19,15,1,0.05,0.35,0.03,0.0667,3.43,0.05,4,0.34115756612163967
143,2020-10-7-22,Format6,336,250,84000,Inter218,App,Mobile,Video,2319,449,443,1,0.04,0.35,0.03,0.0023,0.1,0.04,3,0.051229743034740774
144,2020-10-5-15,Format1,300,250,75000,Inter229,Video,Desktop,Display,1793,375,374,1,0.05,0.35,0.03,0.0027,0.13,0.05,3,0.08441068001749549
145,2020-10-27-13,Format1,300,250,75000,Inter223,Web,Mobile,Display,1852,266,265,2,0.04,0.35,0.03,0.0075,0.16,0.02,3,0.06865434073419621
146,2020-11-8-15,Format5,720,300,216000,Inter227,App,Mobile,Video,28,16,13,2,0.04,0.35,0.03,0.1538,3.26,0.02,4,0.35184182593134505
147,2020-9-19-13,Format1,300,250,75000,Inter217,Web,Desktop,Video,1566,288,286,2,0.05,0.35,0.03,0.007,0.16,0.02,3,0.06894339620500847
148,2020-10-3-13,Format1,300,250,75000,Inter227,App,Mobile,Display,1494,322,321,1,0.04,0.35,0.03,0.0031,0.12,0.04,3,0.08026837463479682
149,2020-10-4-10,Format6,336,250,84000,Inter219,Video,Desktop,Display,1493,297,297,1,0.04,0.35,0.03,0.0034,0.15,0.04,3,0.04951356217253348
150,2020-10-26-14,Format1,300,250,75000,Inter217,Web,Desktop,Display,1536,290,289,1,0.04,0.35,0.03,0.0035,0.15,0.04,3,0.0794004961594556
151,2020-10-20-1,Format1,300,250,75000,Inter223,Web,Mobile,Display,768,161,158,1,0.04,0.35,0.03,0.0063,0.25,0.04,3,0.07558064640556794
152,2020-9-4-16,Format1,300,250,75000,Inter224,Web,Desktop,Display,1689,330,329,1,0.07,0.35,0.04,0.003,0.2,0.07,3,0.09099865272647092
153,2020-9-13-18,Format1,300,250,75000,Inter224,Web,Desktop,Video,1668,329,328,1,0.05,0.35,0.04,0.003,0.17,0.05,3,0.08338256381564126
154,2020-10-2-13,Format1,300,250,75000,Inter227,App,Mobile,Display,1687,293,292,1,0.06,0.35,0.04,0.0034,0.21,0.06,3,0.08642264064049711
155,2020-9-30-17,Format5,720,300,216000,Inter225,Video,Mobile,Video,24,14,12,1,0.06,0.35,0.04,0.0833,4.92,0.06,4,0.35821059264761385
156,2020-11-2-23,Format1,300,250,75000,Inter217,Web,Desktop,Video,1934,430,430,1,0.06,0.35,0.04,0.0023,0.14,0.06,3,0.08854807465509054
157,2020-11-8-23,Format5,720,300,216000,Inter220,Web,Mobile,Video,36,10,8,1,0.07,0.35,0.04,0.125,8.63,0.07,4,0.3924562139134788
158,2020-11-21-18,Format1,300,250,75000,Inter228,Video,Mobile,Video,1587,202,198,1,0.06,0.35,0.04,0.0051,0.3,0.06,3,0.08350348365550629
159,2020-10-9-21,Format1,300,250,75000,Inter221,App,Mobile,Video,1747,328,322,2,0.06,0.35,0.04,0.0062,0.19,0.03,3,0.07288877831419119
160,2020-9-30-19,Format5,720,300,216000,Inter227,App,Mobile,Video,5,3,2,1,0.07,0.35,0.05,0.5,35.0,0.07,4,0.16312499652810528
161,2020-10-18-1,Format1,300,250,75000,Inter219,Video,Desktop,Display,734,149,142,1,0.07,0.35,0.05,0.007,0.49,0.07,3,0.0823611423148292
162,2020-11-6-9,Format5,720,300,216000,Inter226,Web,Mobile,Video,21,14,12,1,0.08,0.35,0.05,0.0833,6.78,0.08,4,0.372485031732038
163,2020-9-21-16,Format5,720,300,216000,Inter222,Video,Desktop,Video,12,7,7,2,0.07,0.35,0.05,0.2857,10.2,0.04,4,0.3785168476505156
164,2020-9-25-17,Format1,300,250,75000,Inter223,Web,Mobile,Display,1668,207,206,2,0.08,0.35,0.05,0.0097,0.38,0.04,3,0.07071750203281728
